,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Has Bandstructure,Crystal System
64,0.28,-0.5713,-1.259,1.252,-1.073,-0.452,0.4863,-1.089
65,-0.946,2.639,1.574,0.05447,-0.07947,-0.8926,0.4863,0.03653
66,-0.782,0.25,-0.2377,0.8843,1.952,-0.3164,-2.05,-1.089
67,-0.782,-1.61,0.12463,1.453,1.261,-1.602,-2.05,-1.089
68,0.03494,0.4785,0.6187,-1.695,0.05023,-0.5254,0.4863,1.162
69,-0.782,1.441,0.8164,-0.622,1.952,0.0932,-2.05,-1.089
70,-0.782,0.1031,-0.2377,-0.0641,0.396,-0.2063,0.4863,-1.089
71,-0.782,-0.3213,-0.9624,1.199,-0.2957,-0.161,-2.05,-1.089
72,0.3618,-0.1798,-0.1388,0.71,1.088,-0.52,0.4863,1.162
73,-1.027,1.545,1.442,-0.748,-1.073,-0.2825,0.4863,-1.089
75,0.28,-0.9634,0.8164,0.719,-0.2091,-0.9463,0.4863,-1.089
76,1.016,-0.316,0.2235,0.8174,1.174,-0.3474,0.4863,1.162
77,0.6885,-0.9033,-1.489,0.86,-0.03622,-0.2147,0.4863,-1.089
78,-0.7007,1.518,1.311,-0.758,-0.4685,0.0989,-2.05,-1.089
79,0.28,-1.839,0.1576,0.8745,-0.3389,-0.7715,0.4863,-1.089
80,-0.4553,0.1902,-0.6,-0.0834,-0.4685,1.836,0.4863,1.162
81,-0.864,0.892,0.454,0.6987,-0.555,1.681,0.4863,1.162
82,-1.027,-0.958,-0.995,1.097,-0.8145,-1.079,-2.05,-1.089
83,-0.537,-0.6855,-0.666,0.6436,2.299,0.339,-2.05,1.162
84,1.179,-0.9087,0.6846,0.6255,1.174,-0.144,0.4863,1.162
85,0.28,-0.4844,1.112,0.789,-0.2091,-0.65,0.4863,-1.089
86,1.261,0.07043,-1.324,0.81,-0.4685,-0.2656,0.4863,1.162
87,0.9336,0.1085,-1.094,0.73,-1.073,-0.3418,0.4863,1.162
88,-0.537,0.1412,0.948,-0.4695,-0.4685,0.01129,0.4863,1.162
89,1.343,-1.094,-1.818,0.6113,1.779,0.986,0.4863,1.162
90,-0.946,1.2295,1.179,-1.907,-0.07947,-1.037,-2.05,0.03653
91,-0.946,-1.79,-1.259,1.108,0.2231,0.0706,0.4863,0.03653
92,1.424,-1.98,1.1455,0.5215,2.125,-0.5,-2.05,1.162
93,-0.537,0.397,0.6514,0.276,-0.4685,-0.3164,0.4863,1.162
94,0.5254,1.055,1.937,0.412,1.693,-1.44,-2.05,-1.089
95,1.506,1.371,0.3882,-0.508,-0.4685,0.1271,-2.05,1.162
96,0.607,0.511,-1.456,0.785,-0.9873,0.6133,0.4863,-1.089
98,-0.946,0.778,1.179,0.0857,-0.8145,1.782,0.4863,0.03653
99,-1.027,1.55,1.508,-0.485,-1.073,-0.7344,0.4863,-1.089
100,-0.946,-1.464,-0.567,0.9927,-0.555,-0.794,0.4863,0.03653
101,-1.027,-0.517,0.4868,-0.7515,-0.2091,-0.387,0.4863,-1.089
102,-0.946,-1.855,-0.1388,0.879,-0.2091,-0.9917,0.4863,0.03653
103,-0.946,-1.388,0.783,0.529,-1.073,-1.376,0.4863,0.03653
104,0.6885,-1.426,-0.3035,1.017,0.569,-0.927,0.4863,-1.089
105,0.28,-0.1743,0.2893,-1.375,-0.9873,-1.119,-2.05,-1.089
106,0.607,0.337,0.2563,0.456,-0.4685,0.2373,0.4863,-1.089
107,-0.946,0.1738,-0.633,-0.417,-1.03,-0.09326,0.4863,0.03653
108,0.6885,-0.5063,-1.226,0.992,-0.03622,-0.01695,0.4863,-1.089
109,0.607,0.07587,-1.127,0.782,-0.9873,0.2147,0.4863,-1.089
110,-0.4553,0.03238,-1.588,0.2024,-0.4685,1.636,0.4863,1.162
111,-0.946,-0.822,0.7505,-1.911,-0.03622,-0.0735,0.4863,0.03653
112,0.28,-0.7676,0.783,0.913,-0.2091,-0.797,0.4863,-1.089
113,-0.946,1.333,0.3882,-0.851,-0.2957,2.04,0.4863,0.03653
114,0.607,0.3044,0.1576,-0.7544,-0.382,-0.11584,-2.05,-1.089
115,-0.946,0.337,0.3552,-0.2075,-1.03,-0.1667,0.4863,0.03653
116,0.9336,1.321,0.12463,-0.749,-1.073,-0.01131,0.4863,1.162
117,-0.782,-0.4302,-1.654,0.735,-0.2957,-0.1638,0.4863,-1.089
118,0.1984,1.344,0.2563,-0.814,0.7417,0.0847,0.4863,1.162
120,0.607,-0.8438,0.8823,0.992,-0.4685,-0.6016,0.4863,-1.089
121,-0.782,-1.769,0.3552,1.603,1.261,-1.904,-2.05,-1.089
122,-0.946,-1.333,0.3882,0.901,-0.2091,-0.6895,0.4863,0.03653
123,-0.946,-1.176,0.586,0.8833,-1.073,-1.3,0.4863,0.03653
124,-0.782,0.484,1.179,0.2493,-0.4685,0.2091,0.4863,-1.089
125,0.6885,-0.914,1.311,-1.884,-0.1227,-0.5537,-2.05,-1.089
126,-0.7007,0.3098,0.12463,0.4663,-1.073,-0.10455,0.4863,-1.089
127,0.607,0.288,0.05878,-0.688,-0.382,0.11865,0.4863,-1.089
128,0.607,0.065,1.014,-1.911,-0.382,-0.2429,0.4863,-1.089
129,-0.7007,1.333,0.1576,-0.5625,-0.4685,-0.065,0.4863,-1.089
130,-0.946,0.8105,-0.00709,-1.332,0.1367,0.421,0.4863,0.03653
