,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Has Bandstructure,Crystal System
100,1.77,0.288,-0.00709,0.5977,-0.4685,-0.3616,0.4863,-1.162
101,-0.7056,0.424,0.8164,-0.2654,0.7417,-0.0678,0.4863,-1.162
102,1.861,1.321,0.12463,-0.749,-1.073,-0.01131,0.4863,-1.162
103,0.761,0.2173,-0.4353,0.855,-1.073,-1.746,0.4863,1.089
104,-1.072,0.1738,-0.633,-0.417,-1.03,-0.09326,0.4863,-0.03653
105,-0.889,-0.0819,-0.00709,-0.7734,-0.8145,1.189,0.4863,1.089
106,1.77,0.4622,-1.753,0.8403,-0.2957,0.4634,0.4863,-1.162
107,-0.2472,-0.7617,0.02585,-0.6587,2.299,0.178,-2.05,-1.162
108,-0.5225,0.7666,-0.1059,-0.3352,0.3096,-1.652,0.4863,1.089
109,-0.3389,1.518,1.311,-0.6377,-1.073,-0.404,0.4863,1.089
110,-1.072,-1.442,1.508,-1.738,-0.6416,-1.017,-2.05,-0.03653
111,-0.06384,1.447,0.849,-0.6953,-0.4685,0.0452,0.4863,-1.162
112,-0.5225,0.582,-1.028,0.3467,-0.9873,0.2937,0.4863,1.089
113,-1.072,0.337,0.3552,-0.2075,-1.03,-0.1667,0.4863,-0.03653
114,-1.072,-1.519,-0.8633,1.16,-0.555,-0.633,-2.05,-0.03653
115,-0.4307,0.1031,0.3552,0.5947,1.088,-0.6924,0.4863,1.089
116,-1.072,-1.388,0.783,0.529,-1.073,-1.376,0.4863,-0.03653
117,0.761,0.424,1.014,-1.246,-0.1227,-0.1978,0.4863,1.089
118,-1.072,-0.947,-0.929,0.8975,-0.8145,-2.215,0.4863,-0.03653
119,-0.5225,0.9683,1.212,-0.725,-0.6416,1.94,0.4863,1.089
120,-0.3389,1.518,1.311,-0.758,-0.4685,0.0989,-2.05,1.089
121,-0.889,-0.898,0.6514,-0.5356,-0.8145,0.339,0.4863,1.089
122,1.953,0.1902,-0.6,-0.0834,-0.4685,1.836,0.4863,-1.162
123,0.3945,1.202,1.343,-1.326,-1.03,-0.1498,0.4863,1.089
124,-0.3389,-0.4463,-1.72,1.2705,-0.9873,0.02542,0.4863,1.089
125,-0.2472,0.359,0.3882,0.507,-0.4685,-8.34e-06,0.4863,-1.162
126,-0.2472,-0.4192,-1.555,0.8135,-0.2957,-0.1638,0.4863,-1.162
127,0.761,-0.1962,0.8823,-1.254,-0.6416,0.839,0.4863,1.089
128,-1.072,-0.4028,-0.4023,-1.911,1.649,-0.3276,-2.05,-0.03653
129,1.22,-0.479,-1.917,0.91,-0.2957,0.0819,0.4863,-1.162
130,0.4863,0.2827,-0.04004,0.7124,0.7417,-0.3108,0.4863,-1.162
131,-1.164,-0.3975,0.6187,0.926,1.088,0.4067,0.4863,-1.162
