,xg_pg,xg_per_shot,shot_accuracy_pct,pass_accuracy_pct,passes_pg,key_passes_pg,pressure_pg,carry_final_third_pg,dribble_success_pct,fouls_pg,interceptions_pg,clearances_pg,group
Ghana,1.1177510928999999,0.134130131148,40.0,79.00641025641025,416.0,4.333333333333333,137.33333333333334,87.66666666666667,65.57377049180327,17.0,9.0,31.666666666666668,H
Senegal,1.1006406794999999,0.0825480509625,27.500000000000004,79.11490683229813,429.3333333333333,8.666666666666666,125.0,124.0,62.7906976744186,12.0,7.333333333333333,30.666666666666668,A
Poland,1.0232313193333333,0.16156283989473683,26.31578947368421,75.77220077220078,345.3333333333333,4.666666666666667,114.33333333333333,53.666666666666664,46.42857142857143,14.0,10.0,29.666666666666668,C
Saudi Arabia,1.0671830893333334,0.10671830893333333,30.0,73.94957983193278,396.6666666666667,5.333333333333333,131.0,106.0,48.78048780487805,19.666666666666668,13.666666666666666,25.333333333333332,C
Qatar,0.4693305661666667,0.07039958492500001,30.0,81.08108108108108,468.6666666666667,5.0,125.0,70.33333333333333,54.285714285714285,12.0,9.0,18.666666666666668,A
Denmark,1.064085744,0.0912073494857143,31.428571428571427,83.66182572614107,642.6666666666666,8.666666666666666,112.33333333333333,145.33333333333334,42.5531914893617,11.333333333333334,11.0,21.333333333333332,D
Germany,2.7436926439,0.12104526370147059,35.294117647058826,85.73611818644932,654.3333333333334,15.666666666666666,128.0,170.0,56.451612903225815,10.333333333333334,11.0,10.333333333333334,E
Mexico,1.019216637,0.07457682709756097,36.58536585365854,77.21254355400697,478.3333333333333,8.333333333333334,127.33333333333333,101.33333333333333,68.75,17.666666666666668,13.0,19.0,C
Brazil,1.8082794429,0.09517260225789474,38.59649122807017,86.17256637168141,602.6666666666666,12.333333333333334,112.66666666666667,168.33333333333334,52.083333333333336,11.0,8.666666666666666,15.333333333333334,G
Costa Rica,0.41137081699999994,0.11219204099999999,54.54545454545454,75.86837294332724,364.6666666666667,1.6666666666666667,145.0,38.333333333333336,64.70588235294117,10.333333333333334,12.0,27.0,E
Serbia,1.030132654,0.0965749363125,28.125,78.9088489687292,501.0,6.0,120.0,99.0,47.82608695652174,16.0,8.333333333333334,20.333333333333332,G
Australia,0.3840178952333333,0.05485969931904761,33.33333333333333,72.17249796582588,409.6666666666667,4.0,111.0,71.33333333333333,37.142857142857146,14.0,11.0,28.0,D
Uruguay,1.0901779522000001,0.09910708656363637,30.303030303030305,78.74069058903183,492.3333333333333,8.666666666666666,124.66666666666667,94.66666666666667,44.11764705882353,11.333333333333334,12.0,24.333333333333332,H
South Korea,1.0865892706666667,0.08149419529999999,30.0,79.60164835164835,485.3333333333333,8.333333333333334,113.33333333333333,130.0,37.93103448275862,11.666666666666666,8.333333333333334,22.0,H
Argentina,1.9644990946666667,0.1339431200909091,47.72727272727273,86.89915174363809,707.3333333333334,8.666666666666666,101.33333333333333,171.66666666666666,56.25,11.333333333333334,7.666666666666667,15.0,C
